,ID,age,height_cm,weight_kg,overall,pac,sho,pas,dri,def,phy,skill_moves,weak_foot,work_rate_att,work_rate_def,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle
2879,207725,24,190.0,83.0,73,38,45,47,47,75,74,2,3,Medium,Medium,36,42,80,57,26,45,33,31,62,54,34,42,32,62,37,73,83,57,85,31,64,70,40,37,40,62,75,78,70
2887,178287,28,178.0,70.0,73,69,68,72,74,63,68,3,3,High,High,74,70,63,73,58,74,70,65,69,73,70,68,73,70,78,71,72,82,69,66,48,65,71,72,62,71,62,64,60
2898,230005,19,180.0,70.0,73,73,61,71,74,58,73,3,3,Medium,Medium,66,64,52,79,40,73,43,55,71,77,74,73,75,65,75,70,57,81,69,56,77,56,66,73,42,74,54,64,58
2900,169590,29,180.0,80.0,73,52,66,76,66,71,71,2,4,Medium,Medium,77,56,65,78,66,64,61,71,81,74,52,52,53,71,61,82,72,61,75,74,72,69,57,74,63,80,73,74,70
2937,192129,28,190.0,85.0,73,73,66,66,78,53,74,1,2,Medium,Medium,11,13,13,41,11,14,20,11,26,24,55,52,58,70,46,19,83,33,74,12,24,23,15,30,13,18,13,13,15
2947,200841,25,185.0,77.0,73,70,50,66,67,72,73,2,2,High,High,73,41,62,69,60,68,60,52,64,68,64,74,62,70,67,72,65,76,74,41,71,70,67,62,49,62,74,75,74
2984,208534,23,188.0,87.0,73,53,43,42,53,73,75,2,3,Medium,High,23,52,77,62,45,47,22,24,52,63,53,53,50,64,51,53,78,61,85,21,69,73,25,26,32,67,74,72,69
2999,3484,36,190.0,84.0,73,33,33,56,53,75,65,2,3,Medium,High,53,29,77,61,32,46,51,35,57,63,34,32,49,68,54,49,61,31,78,23,74,75,32,55,47,69,76,75,72
3014,176546,31,172.0,72.0,73,86,65,71,80,67,68,4,2,High,Medium,76,56,54,74,66,80,74,59,70,78,88,84,88,68,86,76,67,67,68,72,71,68,70,64,67,74,66,70,74
3024,190885,26,180.0,78.0,73,76,55,69,73,71,69,3,3,High,Medium,72,43,56,72,40,74,59,66,61,72,77,75,74,73,69,72,53,76,68,68,67,70,63,69,48,72,72,75,72
3034,183465,26,188.0,71.0,73,63,68,71,72,73,74,3,4,Medium,Medium,68,63,78,75,66,70,66,47,72,75,64,62,73,72,62,77,78,72,75,72,73,74,67,71,57,71,72,73,66
3038,222634,21,182.0,90.0,73,84,68,64,76,29,71,3,3,Medium,Medium,73,69,64,68,55,77,56,54,55,79,80,88,73,68,57,80,82,65,84,58,45,20,72,61,68,63,22,33,24
3045,184749,27,183.0,79.0,73,62,68,70,68,67,71,3,3,Medium,Medium,68,65,61,73,64,66,57,57,71,71,64,60,65,69,71,71,67,76,66,73,76,71,77,73,61,77,66,68,68
3067,166838,30,180.0,72.0,73,71,66,67,76,39,68,4,4,High,Medium,71,68,66,69,49,77,60,69,59,75,74,69,82,69,66,67,63,78,66,66,60,37,72,69,64,71,30,44,31
3092,207807,23,163.0,60.0,73,88,64,68,76,42,55,3,4,High,Medium,72,67,25,69,43,76,70,67,54,71,89,88,92,64,93,60,61,72,41,69,65,35,69,70,56,68,53,43,37
3100,193475,27,178.0,66.0,73,74,51,70,72,71,74,2,2,High,Medium,76,43,72,70,43,73,73,69,68,71,75,73,74,73,72,65,90,71,72,54,79,67,73,64,49,65,71,72,76
3101,213956,21,178.0,76.0,73,94,59,59,81,24,70,4,3,High,Low,70,61,40,67,47,85,54,42,52,78,92,95,80,61,81,71,75,66,80,49,48,29,64,46,47,71,20,23,16
3156,220633,21,180.0,74.0,73,90,66,64,80,23,55,3,3,Medium,Low,69,64,31,66,50,82,70,45,59,77,90,90,90,64,82,74,55,72,56,71,33,23,65,60,58,64,21,23,20
3177,180706,28,190.0,83.0,73,56,37,54,54,74,73,2,3,Medium,Medium,39,29,74,71,30,47,39,39,61,59,50,61,64,69,56,56,69,71,75,41,69,68,27,43,28,67,76,77,73
3184,184037,27,191.0,77.0,73,58,44,61,62,74,76,3,3,Medium,Medium,73,38,76,68,39,59,60,35,64,67,56,60,59,73,55,61,70,75,79,38,70,71,42,39,58,75,72,77,78
3197,53739,34,193.0,83.0,73,74,70,69,75,43,72,1,4,Medium,Medium,19,17,14,26,15,11,17,19,24,20,47,40,49,67,45,24,63,34,58,19,42,23,14,56,20,59,12,13,19
3221,164853,32,188.0,90.0,73,73,69,78,73,47,70,1,2,Medium,Medium,19,18,18,28,19,19,27,21,25,27,45,48,50,72,42,17,73,41,72,14,44,22,16,63,41,61,20,11,18
3242,202491,25,178.0,66.0,73,66,58,74,70,52,51,3,2,Medium,Medium,60,57,46,83,58,65,66,65,76,75,67,65,78,69,74,59,45,72,42,58,47,55,67,75,56,68,53,54,47
3251,54013,32,180.0,64.0,73,69,69,73,74,39,59,3,3,Medium,Medium,75,66,62,72,70,74,80,72,73,75,69,69,72,70,73,73,42,73,62,72,36,44,70,72,68,68,41,26,36
3351,191005,29,182.0,78.0,72,77,64,72,72,66,74,3,3,Medium,Medium,75,61,72,75,60,73,74,69,69,73,77,77,72,73,63,70,81,87,72,66,59,71,69,67,59,68,62,66,61
3356,194334,26,190.0,84.0,72,64,37,52,60,73,72,2,3,Medium,Medium,33,36,76,58,29,58,41,32,60,62,65,63,62,67,50,45,68,68,74,32,72,73,40,60,37,68,74,72,68
3423,200759,24,178.0,72.0,72,87,61,62,74,67,77,2,2,High,Medium,66,56,64,65,64,74,62,34,55,70,84,89,81,69,79,74,77,77,79,53,70,65,70,63,68,64,68,68,70
3481,170570,30,173.0,67.0,72,54,65,70,72,45,59,3,3,Medium,Medium,63,64,42,75,75,70,71,60,64,73,57,51,75,76,78,62,60,60,57,64,60,54,75,76,66,74,38,45,48
3523,215639,21,182.0,77.0,72,80,66,64,76,49,64,4,2,Medium,Medium,63,64,66,66,55,77,60,54,65,77,83,78,84,67,62,75,69,73,70,66,34,52,67,65,67,66,43,48,44
3541,193884,26,188.0,74.0,72,71,67,71,72,63,70,3,4,High,High,70,66,60,76,68,74,65,67,70,72,68,74,66,64,63,67,70,89,67,68,56,67,64,68,65,69,61,64,57
3567,52326,32,191.0,85.0,72,73,70,69,77,47,71,1,2,Medium,Medium,11,12,12,39,22,11,11,14,34,22,46,47,38,59,45,25,66,31,62,11,45,24,11,52,22,67,13,12,11
3596,191089,24,191.0,90.0,72,66,72,61,66,27,76,2,3,High,Medium,62,74,72,62,62,67,53,67,57,70,63,68,57,72,53,76,68,70,83,67,69,18,68,60,75,65,19,28,20
3613,193910,25,185.0,71.0,72,66,63,73,76,54,61,3,3,Medium,Medium,68,59,47,78,59,77,67,67,74,75,68,64,78,64,71,67,33,73,58,66,59,57,71,71,66,75,52,55,54
3643,202113,23,177.0,72.0,72,87,60,63,71,70,75,3,4,High,Medium,61,61,63,66,31,70,47,42,62,68,83,90,83,63,77,64,81,79,75,65,70,67,60,68,51,66,70,73,70
3659,179592,31,186.0,79.0,72,66,70,70,74,59,70,4,4,High,High,72,69,52,69,68,75,69,68,68,73,65,66,78,68,67,72,50,87,72,70,47,59,69,73,71,70,56,63,59
3709,172953,30,180.0,78.0,72,68,34,57,63,75,72,2,3,Medium,Medium,57,27,76,63,21,59,33,22,61,65,68,68,64,73,76,47,80,70,77,34,58,68,53,58,44,64,76,77,79
3722,179613,29,183.0,90.0,72,74,71,69,74,39,76,3,3,High,Medium,75,66,61,67,68,76,74,73,63,73,73,74,72,67,67,79,60,64,84,75,75,40,72,69,70,69,37,33,35
3735,152991,33,183.0,72.0,72,67,67,71,69,69,79,2,3,Medium,High,68,65,67,75,66,70,65,62,75,69,68,66,63,75,67,74,78,78,77,67,83,76,59,70,56,74,68,66,73
3808,163261,32,180.0,74.0,72,62,59,60,64,73,76,2,3,Medium,Medium,65,47,67,70,43,61,66,33,62,67,66,58,68,74,62,83,75,71,75,66,85,68,58,42,56,67,74,76,79
3813,198335,27,172.0,65.0,72,75,61,67,75,69,68,3,3,High,Medium,72,61,48,68,58,75,59,63,64,73,79,72,79,72,79,66,83,79,59,59,72,69,66,66,56,69,73,72,70
3817,166080,30,179.0,72.0,72,67,68,73,76,52,66,3,3,Medium,Medium,73,65,62,74,67,75,69,70,71,76,70,65,76,74,81,72,64,65,65,69,68,61,72,76,78,78,47,49,43
3818,213697,22,183.0,72.0,72,66,49,60,65,73,74,2,3,Medium,Medium,43,48,72,70,45,65,49,36,69,65,65,66,60,67,63,58,76,71,75,43,74,73,51,60,43,66,73,74,72
3826,216003,20,179.0,67.0,72,81,62,70,72,49,55,3,3,Medium,Medium,66,62,56,74,46,72,67,49,70,72,84,78,76,68,75,65,70,76,49,64,41,45,62,71,55,63,55,43,50
3836,228295,21,189.0,75.0,72,62,34,53,65,73,74,2,3,Medium,Medium,52,30,64,62,27,63,33,30,44,69,61,63,60,68,69,48,73,75,75,27,72,73,40,55,38,72,74,74,73
3847,206538,23,181.0,73.0,72,73,54,65,66,71,75,3,3,Medium,High,56,51,64,76,25,63,41,29,65,70,75,72,69,65,73,64,72,74,77,61,73,71,61,69,44,63,72,73,71
3873,169426,30,183.0,76.0,72,72,51,62,66,72,75,2,3,Medium,Medium,70,44,62,65,59,62,64,51,62,71,71,73,67,65,66,61,68,79,74,53,74,71,56,52,55,62,76,72,70
3874,186578,28,184.0,79.0,72,64,71,68,70,68,71,2,3,High,Medium,61,70,73,74,69,69,64,59,69,73,66,62,69,72,60,72,75,71,73,72,63,67,72,69,63,69,68,69,63
3916,205540,21,176.0,81.0,72,85,67,62,77,45,66,3,4,Medium,Medium,66,65,35,67,50,78,65,31,57,76,85,85,75,64,80,79,60,69,71,68,50,46,68,58,57,65,42,49,46
3953,189680,26,172.0,65.0,72,80,56,68,72,70,66,3,4,High,Medium,69,45,56,71,59,70,57,60,70,71,81,79,83,72,84,72,74,66,61,58,76,73,66,66,60,73,70,71,71
4116,224294,20,175.0,71.0,71,73,56,68,76,63,70,3,4,Medium,Medium,57,56,47,76,44,76,54,58,71,76,77,70,78,69,80,60,60,77,63,58,79,66,59,69,45,70,61,68,66
4188,49212,38,186.0,80.0,71,74,70,67,73,43,67,1,3,Medium,Medium,13,13,11,24,12,12,15,12,23,14,42,43,48,68,55,20,74,33,43,12,21,17,8,34,22,35,12,12,15
4208,196932,24,191.0,74.0,71,66,69,58,65,28,69,3,3,Medium,Medium,44,73,71,69,63,66,47,41,56,70,67,66,58,67,37,75,75,65,79,58,46,36,69,59,64,69,17,21,19
4259,190549,24,187.0,80.0,71,64,70,67,70,65,78,3,2,High,Medium,65,69,70,71,66,70,47,56,66,73,60,67,62,75,55,76,79,84,78,73,72,64,63,70,63,75,64,67,62
4337,198511,26,195.0,90.0,71,73,67,68,73,34,70,1,2,Medium,Medium,9,13,10,29,14,19,18,12,25,20,37,32,32,62,35,17,54,39,75,19,31,22,12,32,14,31,13,10,9
4349,169586,29,172.0,82.0,71,77,70,57,71,34,67,3,3,High,Medium,64,74,69,62,66,71,43,58,41,69,79,75,76,69,79,70,74,69,63,62,71,22,72,57,68,68,32,35,28
4513,232099,21,191.0,82.0,71,67,68,67,67,69,77,2,3,Medium,Medium,60,70,69,74,61,67,60,43,72,72,63,71,56,64,53,75,74,78,78,62,75,70,72,66,57,60,66,72,71
4617,212419,24,196.0,77.0,71,74,36,61,66,69,77,2,3,Medium,Medium,70,35,63,65,30,69,45,37,59,65,73,75,64,67,54,41,64,77,80,30,73,70,57,54,32,59,68,71,70
4638,202697,23,185.0,75.0,71,61,41,55,62,72,69,2,3,Medium,Medium,47,36,68,66,34,60,55,58,53,66,57,64,60,65,58,49,67,66,74,42,63,72,47,44,42,65,71,74,69
4713,155355,28,180.0,68.0,71,72,63,71,72,50,61,4,3,High,High,69,61,58,72,66,71,72,65,66,70,73,71,75,74,78,65,68,75,56,62,56,56,70,74,63,72,42,52,43
4733,138722,30,180.0,77.0,71,64,55,61,69,73,73,2,3,High,Medium,54,53,61,68,45,70,58,59,66,67,66,63,69,70,68,59,73,80,71,60,68,75,44,51,57,61,69,77,76
4755,204519,27,185.0,77.0,71,71,52,63,63,69,75,2,3,High,Medium,73,45,65,62,44,62,63,45,60,61,69,72,70,72,60,61,85,82,73,60,71,70,53,59,51,71,67,71,69
4838,223747,22,178.0,77.0,70,70,37,65,69,69,67,2,2,Medium,High,74,33,58,67,25,69,73,68,55,67,71,69,75,62,74,45,79,72,66,32,60,65,67,55,46,60,70,73,70
4839,225539,19,187.0,80.0,70,75,67,62,73,25,63,3,3,High,Medium,54,70,64,71,65,73,54,42,58,76,76,74,73,63,69,68,69,68,72,57,34,22,66,63,71,64,24,15,22
4883,201999,24,181.0,79.0,70,65,39,59,69,72,72,2,3,Medium,Medium,67,43,62,66,30,67,34,26,63,73,68,62,67,60,69,35,66,63,71,32,88,68,52,48,47,67,75,75,76
4972,163625,31,178.0,79.0,70,60,66,72,64,66,72,2,3,High,Medium,72,62,58,73,55,59,67,68,70,72,63,57,64,66,69,72,73,71,72,70,73,65,64,72,75,71,68,69,65
4996,204847,23,180.0,70.0,70,76,45,55,66,67,66,2,2,High,Medium,68,32,51,62,34,68,41,35,55,65,75,77,63,65,68,68,64,74,62,51,65,65,59,39,50,64,69,69,74
5032,202811,24,193.0,85.0,70,71,68,73,72,58,67,1,3,Medium,Medium,22,16,26,27,23,13,22,20,46,26,59,57,49,60,49,28,60,14,70,26,37,13,12,49,42,37,12,20,20
5056,203841,25,192.0,76.0,70,72,69,71,72,47,69,1,3,Medium,Medium,11,14,11,32,14,13,11,12,35,24,50,45,29,59,45,17,59,32,52,15,36,17,13,41,22,39,15,15,14
5093,225100,20,188.0,77.0,70,77,30,53,65,69,72,2,3,Medium,Medium,57,26,69,65,24,65,41,29,53,65,75,78,64,65,66,41,64,67,78,26,63,66,51,39,26,63,69,71,71
5131,183385,31,178.0,81.0,70,69,68,67,68,63,80,3,4,Medium,High,62,62,63,73,64,68,36,56,71,71,68,69,65,65,67,83,76,76,81,72,81,64,59,68,57,70,60,66,65
5148,229984,20,178.0,77.0,70,76,43,64,71,66,69,2,3,High,Medium,69,45,55,65,39,72,60,46,62,70,77,75,72,64,70,39,75,77,63,35,71,69,69,65,50,69,64,68,71
5155,187489,28,191.0,81.0,70,60,66,65,69,69,81,2,3,Medium,High,66,67,71,69,64,71,50,52,67,70,62,58,58,72,58,70,70,82,79,60,86,68,65,63,58,73,70,69,65
5158,194146,26,187.0,82.0,70,63,35,43,52,70,76,2,2,Low,Medium,38,29,72,51,26,49,38,32,50,52,66,61,61,66,57,56,80,72,78,27,74,69,48,34,32,65,69,71,70
5231,200309,25,187.0,77.0,70,90,48,59,68,63,76,3,2,High,Medium,63,47,53,62,39,69,57,43,54,67,88,91,72,56,62,49,60,87,74,44,69,64,66,60,51,68,60,67,70
5400,213666,21,191.0,83.0,70,67,55,63,71,64,75,2,4,Medium,Medium,41,61,57,76,31,71,31,31,74,76,65,69,62,60,68,51,59,76,79,49,67,62,68,70,45,71,64,67,61
5453,204210,28,193.0,84.0,70,46,49,52,56,70,74,2,3,Medium,High,49,54,74,62,53,55,35,46,58,59,43,48,51,67,53,37,59,67,80,49,73,66,37,40,50,64,69,72,67
5511,221890,23,182.0,78.0,70,65,54,63,66,70,73,2,3,Low,High,54,52,76,73,45,63,49,33,67,72,67,64,69,57,67,67,57,69,76,50,75,66,57,64,51,67,70,71,73
5528,206534,23,185.0,71.0,70,74,69,59,69,34,63,3,3,High,Medium,58,73,67,64,56,69,67,41,58,73,75,73,70,66,53,68,60,67,64,62,56,54,71,56,69,67,26,23,18
5549,228813,20,173.0,68.0,70,66,61,70,72,58,53,3,3,Medium,Medium,58,63,47,77,49,72,65,62,74,74,68,65,73,58,81,62,58,61,48,58,54,58,62,71,54,70,59,62,55
5869,218659,21,183.0,70.0,69,75,37,60,64,66,68,2,2,Medium,Medium,72,36,56,64,37,64,63,62,62,61,72,78,72,59,63,34,61,72,68,38,63,67,49,40,51,59,64,71,68
6007,209483,22,186.0,80.0,69,75,63,64,72,48,68,1,2,Medium,Medium,20,15,16,24,16,13,10,14,23,24,48,48,63,62,51,18,69,30,45,14,20,16,12,31,21,29,12,16,12
6134,231281,18,175.0,69.0,69,81,58,70,67,64,66,2,3,High,Medium,70,56,56,73,41,68,73,74,67,63,81,81,75,60,75,62,67,78,59,63,69,64,62,63,55,65,63,66,64
6325,205990,22,176.0,72.0,69,67,51,66,65,64,71,2,3,Medium,High,59,49,46,74,40,62,58,51,66,66,69,65,74,58,85,58,62,74,66,53,80,64,55,66,49,70,62,70,68
6362,221618,21,184.0,80.0,69,80,72,39,67,21,60,3,2,Medium,Medium,29,71,67,45,47,74,34,31,33,56,78,81,74,60,64,76,70,53,74,76,33,18,66,47,75,60,14,15,17
6452,188107,27,180.0,75.0,69,78,67,45,67,28,77,2,3,Medium,Medium,45,68,66,53,64,65,54,35,29,67,81,76,79,66,71,72,82,70,84,62,69,33,63,44,66,61,23,20,14
6454,216268,23,175.0,72.0,69,80,65,61,72,30,59,3,3,High,Medium,58,69,49,66,58,74,67,42,56,67,82,79,78,64,82,66,58,67,61,57,46,21,67,60,65,58,28,30,35
6680,216325,21,196.0,77.0,68,67,66,69,70,49,66,1,3,Medium,Medium,14,15,14,32,19,20,20,15,41,27,48,49,40,62,42,24,64,31,64,17,28,22,14,50,25,33,14,16,14
6705,212493,21,182.0,70.0,68,82,64,62,74,26,54,3,3,Medium,Medium,64,65,32,62,59,75,62,69,56,71,82,82,84,56,76,65,58,61,59,64,32,32,57,63,53,56,24,23,22
6730,224021,20,179.0,82.0,68,84,59,60,70,30,56,3,4,Medium,Low,60,63,44,68,44,73,52,50,58,66,82,85,74,62,67,56,38,57,64,56,40,28,63,54,66,56,24,33,32
6741,170008,29,192.0,91.0,68,71,63,63,68,45,69,1,3,Medium,Medium,11,20,11,25,14,18,13,12,30,23,45,45,51,60,56,23,54,35,64,18,34,23,16,39,22,56,12,12,12
6860,229682,19,191.0,72.0,68,66,29,44,45,69,66,2,3,Medium,Medium,24,25,69,54,26,33,28,22,44,59,66,66,38,65,68,40,76,66,67,25,62,67,27,56,36,64,67,71,68
7046,226401,19,185.0,80.0,68,69,63,66,72,46,55,3,3,Medium,Low,62,62,52,70,56,74,56,51,67,69,70,69,72,60,72,67,52,59,57,65,48,33,56,66,54,70,46,49,52
7144,188278,26,189.0,84.0,68,70,65,64,73,48,67,1,2,Medium,Medium,12,11,11,29,15,13,12,11,17,16,46,50,67,59,41,19,67,32,62,12,33,23,9,33,14,31,11,14,14
7703,225024,20,184.0,63.0,67,76,42,54,65,66,71,2,3,Medium,Medium,43,37,62,68,40,65,39,35,59,67,75,76,65,65,57,51,57,74,75,42,63,58,50,45,40,66,65,71,70
7870,218660,20,168.0,65.0,67,83,59,60,72,29,53,2,3,Medium,Medium,60,59,42,65,54,73,58,45,58,68,86,80,81,62,78,64,45,60,57,53,37,20,54,57,67,61,26,31,36
7883,221479,20,187.0,71.0,67,82,64,51,68,31,64,2,3,High,Low,46,69,60,61,59,68,45,42,35,66,83,82,81,57,71,65,75,69,67,56,49,34,66,54,54,55,23,31,21
7990,203331,24,178.0,72.0,67,87,51,58,69,33,60,3,4,Medium,Medium,62,52,46,59,47,68,53,43,56,66,88,87,79,60,79,52,73,70,58,47,51,24,61,60,49,52,34,40,16
8190,152690,38,193.0,90.0,67,67,65,62,63,34,69,1,3,Medium,Medium,10,10,13,34,19,10,10,11,12,23,31,36,42,64,36,22,55,21,52,12,12,15,10,32,18,21,16,14,18
8409,172966,29,173.0,72.0,67,59,42,57,62,69,69,2,3,Medium,Medium,63,39,53,60,43,59,44,66,48,63,61,58,67,59,79,47,77,75,72,40,52,63,52,55,39,72,72,73,77
8463,201911,24,187.0,72.0,67,73,66,55,68,34,61,3,3,Medium,Medium,40,65,62,68,62,68,48,47,51,70,73,73,73,55,63,73,64,63,63,61,55,39,64,56,67,66,32,28,20
8558,215756,22,180.0,70.0,67,75,48,61,70,63,68,2,3,Medium,Medium,72,47,53,60,42,71,67,47,57,69,74,76,73,62,72,48,61,73,71,51,55,62,47,57,52,57,62,67,61
8751,225785,19,178.0,67.0,67,82,54,54,72,18,52,3,2,Medium,Medium,53,57,38,61,43,73,43,30,43,69,83,82,81,68,73,50,62,66,52,48,33,23,65,58,60,60,16,11,16
8917,50723,36,198.0,85.0,66,67,64,63,63,52,65,1,2,Medium,Medium,13,11,20,28,12,11,13,11,18,26,51,52,54,68,51,25,32,44,76,13,40,24,13,21,41,62,11,12,12
9042,222528,21,173.0,69.0,66,79,57,63,68,47,66,3,4,Medium,Medium,58,56,51,67,53,69,55,58,65,70,79,79,58,59,78,64,54,59,66,55,76,31,54,65,59,64,47,54,50
9400,224656,20,182.0,82.0,66,83,36,50,67,63,67,2,3,High,Medium,61,33,53,55,36,69,42,37,45,62,85,81,65,60,78,34,66,64,73,35,57,65,56,38,49,37,63,65,67
9435,206489,24,183.0,80.0,66,75,37,57,66,64,69,2,2,Medium,Medium,65,35,61,63,32,67,54,35,51,62,76,74,72,66,64,45,77,67,69,31,70,55,49,47,43,57,67,66,67
9495,221350,20,179.0,75.0,66,86,63,49,68,25,54,2,2,High,Low,45,68,64,53,49,67,48,31,35,67,87,86,77,55,72,67,89,58,57,49,34,19,66,61,60,60,20,21,29
9679,234706,19,173.0,70.0,66,82,40,60,64,62,61,2,2,High,Medium,67,37,36,63,34,63,44,48,53,68,80,83,64,49,72,44,61,72,55,38,64,59,68,59,43,60,65,69,66
9703,236246,19,183.0,75.0,66,73,57,64,69,44,65,3,3,Medium,Medium,56,57,57,74,56,68,60,49,71,75,71,74,61,63,61,67,58,60,75,47,46,27,50,55,57,60,45,47,57
9706,216791,22,185.0,77.0,66,72,33,51,50,65,71,2,3,Medium,Medium,61,30,64,60,36,46,35,34,53,54,71,72,49,53,57,44,76,69,75,26,60,59,31,31,48,47,67,68,64
9798,223979,18,167.0,61.0,66,78,63,59,73,36,52,3,3,High,Medium,58,61,38,63,58,72,57,48,49,71,77,79,86,55,89,68,46,68,47,65,48,37,58,62,59,67,40,34,26
9804,228332,19,178.0,64.0,66,70,44,58,62,64,73,3,3,Medium,High,43,35,61,69,42,61,45,48,60,60,69,71,70,59,72,69,64,71,73,38,77,63,41,56,51,59,64,67,62
9834,231410,17,170.0,68.0,66,76,64,55,73,23,46,3,4,High,Medium,43,65,30,63,44,73,62,47,48,72,78,75,79,54,82,69,67,62,43,62,28,20,61,58,58,57,22,23,21
9851,225782,19,177.0,71.0,66,83,53,62,65,57,66,3,4,Medium,Medium,60,51,38,68,39,65,44,36,66,63,80,85,74,62,70,58,58,72,68,54,55,61,56,60,54,55,57,59,58
10000,205596,23,179.0,65.0,65,69,42,52,63,63,63,2,3,High,Medium,62,49,54,54,36,63,34,32,49,65,70,69,61,56,67,34,60,73,61,33,54,62,60,49,43,56,64,65,65
10054,197932,26,180.0,80.0,65,85,61,50,63,33,68,2,4,High,Medium,55,64,51,53,51,58,50,47,43,63,86,84,80,68,82,58,68,70,72,56,56,40,70,45,58,66,27,31,25
10293,233064,18,175.0,64.0,65,69,58,64,71,44,47,3,4,Medium,Medium,60,56,37,67,57,71,72,63,60,70,72,66,75,55,75,60,33,60,45,61,41,42,48,66,60,72,46,49,31
10326,224371,20,174.0,70.0,65,76,62,55,71,34,62,3,3,Medium,Medium,52,66,62,58,53,73,58,51,48,68,78,75,73,57,79,56,62,68,64,59,47,26,64,59,61,61,34,31,29
10399,199812,25,189.0,80.0,65,65,59,65,69,42,61,1,3,Medium,Medium,15,11,13,35,15,12,14,12,34,26,42,42,48,65,44,22,48,40,58,15,28,28,13,30,27,33,20,11,11
10557,215211,21,189.0,87.0,65,60,29,47,57,65,66,2,3,Medium,High,37,30,69,63,21,60,29,30,52,54,63,57,57,54,51,26,59,56,76,28,55,60,35,34,39,45,64,69,64
10745,210389,23,177.0,70.0,65,83,43,61,59,56,68,2,3,Medium,Medium,77,42,35,62,23,55,63,27,60,56,81,85,75,62,75,40,64,78,63,49,70,62,59,50,40,58,53,60,58
10754,236248,17,174.0,72.0,65,77,62,57,68,21,53,3,4,High,Medium,50,62,44,65,45,66,50,45,58,67,82,73,79,60,79,66,60,64,56,62,31,28,64,56,62,60,16,15,21
10930,216321,22,185.0,82.0,64,65,57,61,67,37,60,3,3,High,High,52,56,50,66,55,68,61,66,59,67,64,66,71,60,63,63,59,53,64,56,61,27,54,63,60,60,33,44,38
11067,228382,20,183.0,77.0,64,78,62,46,62,27,72,2,3,High,Medium,39,63,59,47,49,62,60,33,40,63,77,79,66,56,58,68,70,68,78,57,60,25,61,54,59,65,21,23,25
11751,222922,21,168.0,70.0,64,65,48,66,67,47,49,3,3,High,Low,57,52,51,72,47,65,61,51,62,67,66,65,79,55,84,53,69,55,45,34,45,28,45,70,59,70,44,57,55
11922,230899,19,174.0,78.0,64,84,68,48,73,17,60,2,4,High,Medium,51,68,49,53,58,75,48,34,39,66,85,83,87,59,80,70,68,58,57,69,68,13,69,44,65,60,16,13,12
12273,235855,18,175.0,70.0,63,88,61,51,70,23,54,3,3,Medium,Medium,35,64,56,60,55,73,51,39,47,65,90,87,74,55,78,66,59,58,58,54,36,18,42,58,60,55,22,17,20
12413,220031,21,191.0,77.0,63,67,64,44,55,21,61,2,2,High,Medium,36,67,62,52,50,50,42,31,37,60,66,68,59,61,60,70,66,71,69,57,27,21,61,48,59,53,12,19,14
12460,213900,21,176.0,75.0,63,73,64,52,60,24,60,2,3,Medium,Low,43,65,55,60,62,61,51,47,46,60,70,75,58,51,70,63,67,59,70,62,34,16,65,51,63,62,22,21,21
12463,210317,23,178.0,78.0,63,63,48,60,59,63,62,2,3,Medium,Medium,62,43,49,67,46,60,56,38,59,64,65,61,49,55,51,55,63,64,60,52,62,62,57,51,39,55,63,67,62
12505,222104,19,196.0,80.0,63,55,29,43,52,61,69,2,3,Medium,Medium,30,30,65,59,25,44,26,22,49,62,52,58,58,54,52,31,68,71,75,22,52,52,28,32,35,70,61,66,63
12517,227995,19,178.0,66.0,63,70,60,62,61,51,59,2,3,High,Medium,50,60,55,72,40,58,65,64,65,62,67,73,64,63,71,71,63,68,55,58,59,49,58,54,55,55,50,50,59
12522,228509,19,183.0,75.0,63,75,48,58,68,44,56,3,3,Medium,Medium,41,41,54,68,46,72,46,43,62,59,79,72,79,62,59,63,64,54,60,46,45,47,62,61,53,59,41,41,42
13002,218661,21,180.0,71.0,62,61,55,64,66,47,57,2,3,Medium,Medium,50,57,52,71,51,66,64,56,66,69,57,65,63,52,67,65,54,53,62,44,51,28,54,64,55,61,49,53,52
13071,228410,19,193.0,80.0,62,67,61,62,61,42,59,1,3,Medium,Medium,17,14,16,27,20,11,16,11,21,16,40,44,32,50,48,23,59,44,67,15,19,20,19,33,21,28,20,18,13
13282,209532,22,191.0,81.0,62,60,58,54,65,43,60,1,3,Medium,Medium,14,17,12,36,16,14,18,20,35,22,50,37,40,69,44,21,57,36,61,15,31,26,13,20,31,22,16,11,11
13554,216270,22,173.0,72.0,62,68,53,60,62,45,56,2,3,Medium,Medium,57,57,47,63,39,61,56,52,58,65,69,68,60,55,65,58,54,53,61,42,46,29,54,64,60,61,46,53,51
13590,216794,21,188.0,76.0,62,70,62,52,62,26,65,3,2,Medium,Medium,36,63,50,60,55,62,58,38,48,61,75,65,59,63,63,67,50,64,73,60,50,22,55,60,57,54,23,24,24
13594,223963,18,187.0,80.0,62,67,32,48,50,62,67,2,2,Medium,Medium,48,24,60,55,26,45,33,35,51,50,68,67,63,56,63,44,76,64,71,33,56,54,50,39,40,46,66,65,58
